longitude,latitude,o3prod_mole_stacked,o3loss_mole_stacked
3.0,-47.0,54375.71717459156,148077.1495221055
3.0,-45.0,65594.34575895205,179601.94324942667
3.0,-43.0,74037.06127045349,216765.27806214793
3.0,-41.0,116778.51685587177,270730.0447667197
3.0,-39.0,216315.9487112261,337390.40275085036
3.0,-37.0,604557.5882569966,404182.62775570725
3.0,-35.0,486569.32921935566,469623.7755364122
3.0,-33.0,477640.2037689401,532484.68739957
3.0,-31.0,425686.0255404084,593394.0290593861
3.0,-29.0,448665.8523355386,656390.1286418586
3.0,-27.0,694295.7773081792,731317.942233077
3.0,-25.0,687287.4203879813,801499.2304650936
3.0,-23.0,498949.2268045222,857939.4592628547
3.0,-21.0,470194.82637930237,934279.12395372
3.0,-19.0,771989.6729361754,1053059.8417382182
3.0,-17.0,1251040.14221156,1175259.2130319416
3.0,-15.0,1263564.5505461276,1313558.861712503
3.0,-13.0,604150.5058919586,1409149.1057799393
3.0,-11.0,405359.9367096108,1454809.3709972864
3.0,-9.0,413080.18252976594,1548371.4095546235
3.0,-7.0,444542.26421608846,1666158.842230229
3.0,-5.0,501990.7886273187,1778288.0114748057
3.0,-3.0,751639.8296503221,1876433.0693702998
3.0,-1.0,924692.6828573092,1944757.215557853
3.0,1.0,1086266.2231204102,2023021.5745249065
3.0,3.0,1929060.365192239,2058947.3629355547
3.0,5.0,4063908.244794475,1953072.5288380513
3.0,7.0,11441531.441531753,1776715.832635606
3.0,9.0,9848848.525726678,1682899.9249275066
3.0,11.0,7060779.460519969,1677799.3278229448
3.0,13.0,6345511.504437987,1802002.303855254
3.0,15.0,4959007.490491247,1729092.7618893117
3.0,17.0,1960147.003581344,1672281.352809493
3.0,19.0,2011618.5292439933,1426193.939733397
3.0,21.0,1653913.9498567325,1344010.8938898647
3.0,23.0,1416905.4508068948,1324744.1405285404
3.0,25.0,1171145.796405066,1201273.6903147532
3.0,27.0,1273006.4925063688,1129286.7518877578
3.0,29.0,1631740.481454538,1247513.031396503
3.0,31.0,1949348.3888898885,1303276.2383865241
3.0,33.0,3357322.063657883,1062802.915178424
3.0,35.0,4737059.04037124,844419.3122730047
3.0,37.0,4993487.214028807,814907.995789606
3.0,39.0,3623190.760079357,1093814.8857683642
3.0,41.0,4088754.3739710087,834464.1306273395
3.0,43.0,4827175.583556681,583645.7966605147
3.0,45.0,4980917.496634235,497769.3840972807
3.0,47.0,4246964.658802298,468665.63809622655
3.0,49.0,2956409.4927192433,389998.098875364
3.0,51.0,2065481.7844051041,293462.18611752015
3.0,53.0,1388426.314780096,281663.14686102624
3.0,55.0,1219726.936029206,267719.2422152167
3.0,57.0,1144251.7820054102,231669.80627115915
3.0,59.0,816483.5670051475,168604.3877443556
3.0,61.0,660290.6492929084,132680.0481332598
3.0,63.0,700755.0204799586,157901.73780936986
3.0,65.0,613784.6916073166,119647.99828786064
3.0,67.0,412313.8730557387,82164.36720362409
3.0,69.0,297088.0619929478,114438.34831674969
3.0,71.0,206065.3937059784,114907.0565280785
3.0,73.0,145458.17817285127,105558.9996332866
3.0,75.0,113184.37405352069,92051.01638417761
3.0,77.0,107786.64681640224,80528.02451694288
3.0,79.0,317107.68091505143,75727.05134749708
3.0,81.0,259441.9582725525,87680.0949745142
3.0,83.0,120700.51208287853,90860.43119623084
3.0,85.0,111551.93181437123,85865.34058711662
3.0,87.0,98097.73526616575,81941.50403854044
3.0,89.0,143767.86619876718,75430.38173708569
