longitude,latitude,Sn,Sv,SnSv,FNR,HOP,LER_etoo,LER_isop,Sv_adj,Sn_adj,SnSv_adj,FNR_NO2,FNR_NOy,FNR_NOx
3.0,17.0,184282.16998519425,692743.7232834756,0.2660178126360081,2.7954570942647967,1.9556570833667006,0.002476802505696854,0.0012906040536585892,0.6927437232834754,1.5850105145075195,2.2880185864331857,3.2457225673334693,0.7965675615875883,2.7954570942647967
3.0,19.0,611878.7124019472,-35035.16979560879,-17.464699499719234,1.655727954425216,1.516288962108901,0.0008542893199808656,4.3511654802034925e-05,-0.03503516979560879,2.440203599341025,-69.65011482966676,1.9580751224404305,0.5964042065339796,1.655727954425216
3.0,21.0,425556.3635953818,-5489.432312822119,-77.5228364873677,1.8180964841826721,1.6181484776869666,0.0011321000833350696,0.0026361950764577564,-0.00548943231282213,2.067558901727894,-376.643482222838,2.1307495204996987,0.5987124239831229,1.8180964841826721
3.0,23.0,387678.66871316545,-36286.761950498665,-10.683749331010171,2.1092809276494533,1.690337568260352,0.001779263742013374,0.0072023414955848485,-0.03628676195049867,1.9918035119634618,-54.89063793238486,2.4325373723408013,0.61406503022418,2.1092809276494533
3.0,25.0,229734.02958612764,4427.2591157752795,51.89080276949134,2.560364832876591,1.914509786425281,0.003961117110204615,0.02642380118186123,0.0044272591157752655,1.6759142337093862,378.5444198957652,2.9506049912207257,0.6438458433897999,2.560364832876591
3.0,27.0,2269964.2887880225,-1959796.7741130127,-1.1582651419637064,2.3141643316568055,1.887208483238906,0.0013823952573124522,0.0001901809694783,-1.9597967741130125,5.756374752113176,-2.9372304455998828,2.684101987129674,0.5953649796418623,2.3141643316568055
3.0,29.0,700490.1981802883,-160239.95693748834,-4.371507653696877,2.3357326278312636,1.735179074359053,0.0017173355297047774,0.006227404315841315,-0.16023995693748833,2.617426570897707,-16.334418836113386,2.7629144694647056,0.5851141090925934,2.3357326278312636
3.0,31.0,809039.1464299017,-35114.20767984248,-23.040222174636604,2.280025013042702,1.634615082873604,0.008173269552231303,0.10609172438502766,-0.03511420767984252,2.8345244673969345,-80.72300799838656,2.704749519543669,0.5458188564203746,2.280025013042702
3.0,33.0,1586345.1546897953,196646.86213068827,8.066974156117155,0.9253257349310291,0.6233535184421817,0.0011811612189729062,0.052637587867779216,0.19664686213068827,4.3891364839167215,22.319890774558985,1.096545631328122,0.453207551491939,0.9253257349310291
3.0,35.0,1957563.1304246192,1294563.214350583,1.5121417855261936,0.19847056767755902,0.17480937774978694,0.00019847284299622027,0.041672962371412776,1.2945632143505827,5.131572435386369,3.9639411799296496,0.2357310614252455,0.1353352528156942,0.19847056767755902
3.0,43.0,207312.8206740059,3433515.672048688,0.060379168314763455,0.26696048675523915,0.22424311769100994,0.00023216740504507414,0.08859124088982312,3.4335156720486886,1.6310718158851423,0.47504423211556934,0.3246954524259784,0.17391946246888998,0.26696048675523915
3.0,45.0,-45303.567127050344,3732800.1827793755,-0.012136617260160475,0.214918041591548,0.20660704058676002,0.00019753486562030324,0.09556401274943004,3.7328001827793744,1.1258390402830303,0.3016071006095888,0.2672213298164075,0.15877595650342738,0.214918041591548
3.0,47.0,-359664.3782456828,3980089.1328190896,-0.09036591047169168,0.18409583223461842,0.19131008328192423,0.00011078901435498988,0.04240530338382157,3.9800891328190904,0.4971174180457656,0.12490107669866633,0.22862117652931005,0.13007929743258065,0.18409583223461842
3.0,49.0,-2893134.170327951,5911496.534311356,-0.489408080261182,0.0848787061062891,0.10346587962354668,1.1347064966389615e-05,0.007546987507616559,5.911496534311356,-4.569822166118771,-0.7730398114241845,0.11359710917587497,0.06600471250817114,0.0848787061062891
3.0,51.0,-3374400.038979511,5483801.97812311,-0.615339513067982,0.06324585734400719,0.06859802897529955,4.017222741786738e-06,0.005587200618392024,5.4838019781231075,-5.532353903421891,-1.0088536977616032,0.08824246201305734,0.051763641551929154,0.06324585734400719
5.0,7.0,5876077.279525391,2242669.3241264145,2.620126478884396,0.781892865057553,0.46462700861010775,0.001453225341497897,0.3480091879144655,2.2426693241264144,12.968600733587907,5.782662916049631,0.9823486955472087,0.5929366557357134,0.781892865057553
5.0,9.0,5165130.784408631,3307503.1927396227,1.561640453060402,0.687518324122607,0.3863581305435455,0.0012321774326470977,0.20822034543307313,3.307503192739622,11.546707743354391,3.491064730852215,0.8345449338646624,0.48008205203410104,0.687518324122607
5.0,11.0,-1057529.4794014536,7697661.0826095585,-0.1373832217412908,0.6435461370111142,0.46174209181768666,0.0005736894675650773,0.03164452356291855,7.697661082609558,-0.8986127842657758,-0.11673841893298063,0.7648397570257249,0.42048645751277774,0.6435461370111142
5.0,13.0,4551977.073277622,1712896.94049944,2.6574728260944727,0.504413161905534,0.4076273154756394,0.00015711290562683917,0.004624574833550832,1.7128969404994407,10.320400321092375,6.0251145746592245,0.6044753998946971,0.3422823371908591,0.504413161905534
5.0,15.0,3544057.323008181,231204.4512602475,15.328672539348874,0.6876349616717854,0.5628809888951998,0.0002411309210835355,0.00398154814336848,0.23120445126024758,8.304560820553492,35.91868917439544,0.8151120801129265,0.41320682646325385,0.6876349616717854
5.0,17.0,647895.822658154,624824.9167526199,1.036923793028997,2.0122873459492374,1.4902031917162408,0.0014854959213896994,0.005163054796402211,0.6248249167526199,2.5122378198534387,4.0207068452234624,2.341413750923029,0.7046192255857646,2.0122873459492374
5.0,19.0,359863.72438390326,-60250.682049275565,-5.972774284772269,2.452623015374145,1.867919476854712,0.001797813499880414,0.0009672028053668898,-0.06025068204927564,1.9361736233049371,-32.13529801573781,2.8663724583682386,0.6551987140832044,2.452623015374145
5.0,21.0,365311.4424964393,7750.312447659006,47.13506003319676,1.8838078327040577,1.64423393437885,0.001802192804047289,0.010938507763543255,0.007750312447659017,1.9470690595300095,251.22458903164892,2.191897778814024,0.5823236373534634,1.8838078327040577
5.0,23.0,726023.1361229059,-46268.96308011578,-15.691363881783564,0.881543097684374,1.030226606929739,0.0012392072398380242,0.025309885860715413,-0.04626896308011576,2.6684924467829427,-57.67348713137115,1.013783692957352,0.41206297505679096,0.881543097684374
5.0,25.0,499655.8262194647,32300.735343170774,15.468868461073754,1.15126419566419,1.2481169260994005,0.0013882478657093252,0.020531620090947143,0.03230073534317075,2.21575782697606,68.59775182934128,1.331760496434537,0.46908672796035167,1.15126419566419
5.0,27.0,6473852.062038862,-6324828.741874913,-1.0235616371993297,3.6361429043535898,2.077912591661743,0.003117931780011082,0.00040832963564006416,-6.324828741874912,14.164150298614855,-2.2394519878203183,4.188724432352076,0.6861137244075467,3.6361429043535898
5.0,29.0,569580.9345154199,-112835.28152934389,-5.047897490886261,4.533201735022673,2.117506531097812,0.007778196301405092,0.046612581442671816,-0.11283528152934386,2.3556080435679707,-20.876520283732116,5.275909604860419,0.9037431696873096,4.533201735022673
5.0,31.0,924045.2119725262,30042.03079939175,30.758413708544463,3.2603778072898635,1.8009535505755356,0.0031470552546573162,0.02277170213293394,0.030042030799391644,3.064536598482182,102.00830359791254,3.842573403061597,0.8202553024920122,3.2603778072898635
5.0,33.0,1788625.9281481802,179574.44594905808,9.960358884557438,0.8881811989976992,0.8058926040738453,0.0021803087929842214,0.07075816486014057,0.17957444594905816,4.79369803083349,26.69476720642853,1.0552603120123003,0.36729440550848974,0.8881811989976992
5.0,35.0,1875460.9218965191,1623279.6344523118,1.1553529546554635,0.13856088999830465,0.13437228143476843,9.315143295271588e-05,0.021759519503139313,1.6232796344523122,4.967368018330168,3.0600815244048434,0.16596771736645266,0.10218875122457798,0.13856088999830465
5.0,45.0,-220654.2669353956,4636617.803739629,-0.047589487914537314,0.1404722289882008,0.12594113328247944,8.82464657542352e-05,0.07402673988627528,4.636617803739629,0.7751376406663395,0.16717738521410114,0.1810032294889977,0.11417408005473266,0.1404722289882008
5.0,47.0,-328919.31220786856,4718443.955254872,-0.0697092760509649,0.14813804694863478,0.15203301877707798,8.879932171626974e-05,0.06382481580345006,4.718443955254871,0.5586075501213936,0.11838808628833652,0.18511809063216794,0.11535219599216102,0.14813804694863478
5.0,49.0,-620379.0442517009,4040595.4440474175,-0.15353654005763923,0.11422550391681366,0.13473759553669276,4.020908300668104e-05,0.02366427139233365,4.040595444047417,-0.024311913966270637,-0.00601691367100035,0.14759613165727725,0.08430471598859814,0.11422550391681366
