placename,loc,seq,circle,longitude,latitude,Sn_adj,Sv_adj,HOP,ln_HOP,LER_etoo,ln_LER,FNR_NO2,FNR_NOx,FNR_NOy,ln_FNR_NO2,ln_FNR_NOx,ln_FNR_NOy,land_earth,land_global,SnSv_FNR,SnSv_HOP,SnSv_LER,SnSv_pred_linear,regime_FNR,regime_HOP,regime_LER,regime_REG
Uganda,9540.5,1441.5,32,32,2,10.79710297,11.96826527,0.249654362,-1.403418545,0.000780789,-7.250420577,0.858803666,0.715923023,0.56055848,-0.189489902,-0.37252253,-0.622143386,1,1,1.113231923,0.799284193,1.036460249,0.894499341,3,2,3,3
Ukraine,9541.5,1442.5,31.5,31.5,49,6.387683094,9.399637137,0.347985833,-1.136453938,0.000156087,-9.15323311,0.315367247,0.253194766,0.158600774,-1.213872936,-1.442871639,-1.866925923,1,1,0.669571631,0.892668412,0.630400054,0.68473552,2,3,2,2
United Arab Emirates,10541,2442,54,54,23,2.806919377,2.623851765,0.769694767,-0.270634161,0.00045593,-7.69920505,3.263605586,2.86826492,0.940176882,1.165525404,1.034304531,-0.080754691,1,1,1.700089052,1.19553217,0.940689642,1.056189071,4,3,3,3
United Kingdom,7973.8,16074.8,356.6,-3.4,54.6,3.211525243,9.855879423,0.184688894,-1.883940919,4.99E-05,-10.64510946,0.166669037,0.130607504,0.092528763,-1.891028413,-2.166996103,-2.463392261,1,1,0.376295594,0.631197466,0.312033641,0.355086641,2,2,2,2
United States,3082.242537,11183.24254,248,-112,45.48507463,9.45376753,10.13255021,0.883330607,-0.782296718,0.002219501,-7.192554107,0.626135615,0.494119693,0.313051986,-0.63879278,-0.883285402,-1.272096377,1,1,0.918638847,1.016552608,1.048808954,1.00210659,3,3,3,3
Uruguay,5548.333333,13649.33333,303.6666667,-56.33333333,-32.33333333,12.86388237,8.273220327,1.283889208,0.248962016,0.011925732,-4.433064699,2.582481063,2.034698014,1.308891267,0.939578422,0.700728345,0.261629906,1,1,1.602231415,1.377286913,1.637683993,1.554660914,4,4,4,4
Uzbekistan,10974.78571,2875.785714,63.42857143,63.42857143,42,8.769431309,8.717711051,0.83061438,-0.638588902,0.003257279,-6.845649091,0.853356199,0.700554784,0.317544261,-0.459583634,-0.677439397,-1.280373139,1,1,0.996254328,1.066821602,1.122838484,1.073378153,3,3,3,3
Vanuatu,15607,7508,167,167,-15,13.64098875,7.042711364,5.584658171,1.720023226,0.024882282,-3.69359931,20.37724184,16.63836366,5.522325814,3.014418682,2.811711093,1.708799115,1,1,2.500844731,1.891864124,1.795485907,1.936894477,4,4,4,4
Venezuela,5133.1,13234.1,294,-66,7.2,13.18274802,9.813394387,1.275843195,-0.108107764,0.020618107,-4.992007302,3.406825708,2.781839156,1.891728944,0.85992993,0.655015298,0.330399558,1,1,1.567735653,1.252383904,1.518405642,1.421535328,4,4,4,4
Vietnam,12889.125,4790.125,106.25,106.25,16.75,12.06743942,12.5218166,0.41548799,-1.077227081,0.002483204,-6.731149693,1.200149032,0.958101171,0.573205879,0.024538355,-0.213449595,-0.653829239,1,1,1.205927562,0.913385967,1.147272656,1.01870683,4,3,3,3
Western Sahara,7563.4,15664.4,347.8,-12.2,25.8,8.070439897,6.9402815,1.40692984,0.334239046,0.000527102,-7.602404816,1.759598958,1.481491328,0.499592183,0.554946267,0.38265049,-0.699172054,1,1,1.435647228,1.407116818,0.961346812,1.164277019,4,4,3,3
Yemen,10211,2112,46.75,46.75,15.5,7.416769401,7.930004587,0.893277575,-0.471400154,0.001468875,-8.016105342,1.959647283,1.681252863,0.373320343,0.244531544,0.079426935,-1.094927776,1,1,1.301206612,1.125304226,0.87306312,0.965691282,4,3,3,3
Zambia,9352.8125,1253.8125,28,28,-13.375,12.2765494,10.28430175,0.239682874,-1.530396227,0.008827837,-4.796885148,2.227777279,1.817907977,1.273984621,0.776971138,0.575646168,0.230695861,1,1,1.5318062,0.7548674,1.56004471,1.214932451,4,2,4,4
Zimbabwe,9420.714286,1321.714286,29.57142857,29.57142857,-19,11.11651759,9.100084142,0.504488107,-0.73866569,0.004223823,-5.575924004,1.554195199,1.25964258,0.935203026,0.403549503,0.195760931,-0.090735882,1,1,1.37007729,1.031814742,1.393797818,1.2303335,4,3,4,4
